"Country","Female","Male","Total","Variable","<1","2","3","4","5-9","10-14","15-17","Poorest (Q1)","Richest (Q5)","IDP","Non IDP","Rural","Urban"
"Kosovo",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,34.30952,21.75427,NA,NA,NA,NA
"Kyrgyzstan",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,41.54509,52.46159,NA,NA,NA,NA
"Montenegro",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,36.25952,28.38044,NA,NA,NA,NA
"North Macedonia",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,45.07002,38.73266,NA,NA,NA,NA
"Serbia",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,21.27146,20.50967,NA,NA,NA,NA
"Turkmenistan",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,47.57173,46.24458,NA,NA,NA,NA
"Uzbekistan",NA,NA,NA,"WealthQuintile",NA,NA,NA,NA,NA,NA,NA,36.59922,25.15958,NA,NA,NA,NA
"Belarus",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.56785,30.3326,NA,NA
"Kazakhstan",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Macedonia",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkmenistan",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",NA,NA,NA,"IDPstatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.37873,26.0732
"Georgia",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.96571,28.58545
"Kazakhstan",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.35373,26.04884
"Kosovo",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.07167,28.22384
"Kyrgyzstan",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.72982,51.30267
"Montenegro",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.55215,29.90641
"North Macedonia",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.41475,46.05291
"Serbia",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1737,19.67563
"Turkmenistan",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.65262,44.779
"Uzbekistan",NA,NA,NA,"SettlementType",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.91492,27.54652
