"Country","Year","Total"
"Latvia",2022,7
"Liechtenstein",2016,0
"Lithuania",2013,6
"Lithuania",2014,9
"Lithuania",2015,5
"Lithuania",2016,7
"Lithuania",2017,3
"Lithuania",2018,4
"Lithuania",2019,4
"Lithuania",2020,2
"Lithuania",2021,1
"Lithuania",2022,4
"Malta",2015,0
"Malta",2016,0
"Malta",2017,0
"Malta",2018,0
"Malta",2019,0
"Malta",2020,0
"Malta",2021,0
"Malta",2022,0
"Montenegro",2016,1
"Montenegro",2018,4
"Montenegro",2019,2
"Montenegro",2020,2
"Montenegro",2021,1
"Montenegro",2022,2
"Netherlands (Kingdom of the)",2013,18
"Netherlands (Kingdom of the)",2014,6
"Netherlands (Kingdom of the)",2015,9
"Netherlands (Kingdom of the)",2016,8
"Netherlands (Kingdom of the)",2017,16
"Netherlands (Kingdom of the)",2018,11
"Netherlands (Kingdom of the)",2019,10
"Netherlands (Kingdom of the)",2020,18
"Netherlands (Kingdom of the)",2021,15
"Netherlands (Kingdom of the)",2022,17
"North Macedonia",2019,2
"North Macedonia",2022,2
"Norway",2013,4
"Norway",2014,2
"Norway",2015,3
"Norway",2016,2
"Norway",2017,0
"Norway",2018,6
"Norway",2019,4
"Norway",2020,2
"Norway",2021,3
"Norway",2022,1
"Poland",2016,11
"Poland",2017,18
"Poland",2018,30
"Poland",2019,37
"Poland",2020,19
"Poland",2021,26
"Poland",2022,23
"Portugal",2010,3.78625954198473
"Portugal",2011,4.6060606060606
"Portugal",2012,7.05785123966943
"Portugal",2013,10.3917525773196
"Portugal",2014,3.37614678899082
"Portugal",2015,6.73076923076922
"Portugal",2016,7.15662650602409
"Portugal",2017,0
"Portugal",2018,2.025
"Portugal",2019,4.92134831460674
"Portugal",2020,4.55056179775281
"Portugal",2021,9
"Russian Federation",2020,330
"Russian Federation",2021,321
"Serbia",2010,16
"Serbia",2011,4
"Serbia",2012,4
"Serbia",2013,11
"Serbia",2014,11
"Serbia",2015,10
"Serbia",2016,6
"Serbia",2017,4
"Serbia",2018,4
"Serbia",2019,13
"Serbia",2020,7
"Serbia",2021,1
"Serbia",2022,1
"Slovakia",2010,2
"Slovakia",2011,5
"Slovakia",2012,2
"Slovakia",2013,4
"Slovakia",2014,3
"Slovakia",2015,1
"Slovakia",2016,4
"Slovakia",2017,1
"Slovakia",2018,6
"Slovakia",2019,15
"Slovakia",2020,6
"Slovakia",2021,18
"Slovakia",2022,3
"Slovenia",2013,0
"Slovenia",2014,0
"Slovenia",2015,0
"Slovenia",2016,0
"Slovenia",2017,0
"Slovenia",2018,0
"Slovenia",2019,1
"Slovenia",2020,0
"Slovenia",2021,0
"Slovenia",2022,0
"Spain",2016,23
"Spain",2017,22
"Spain",2018,27
"Spain",2019,26
"Spain",2020,21
"Spain",2021,21
"Spain",2022,26
"Switzerland",2010,8
"Switzerland",2011,4
"Switzerland",2012,5
"Switzerland",2013,4
"Switzerland",2014,4
"Switzerland",2015,10
"Switzerland",2016,3
"Switzerland",2017,1
"Switzerland",2018,5
"Switzerland",2019,11
"Switzerland",2020,10
"Switzerland",2021,3
"Switzerland",2022,8
"Türkiye",2016,245
"Türkiye",2017,257
"Türkiye",2018,202
"Türkiye",2019,200
"Türkiye",2020,197
"Türkiye",2021,176
"Türkiye",2022,219
"United Kingdom",2010,2
"United Kingdom",2011,3
"United Kingdom",2012,2
"United Kingdom",2013,4
"United Kingdom",2014,10
"United Kingdom",2015,70
"United Kingdom",2016,138
"United Kingdom",2017,135
"United Kingdom",2018,119
"United Kingdom",2019,10
"United Kingdom",2020,8
"United Kingdom",2021,5
"United Kingdom",2022,3
"Uzbekistan",2015,37
"Uzbekistan",2016,40
"Uzbekistan",2017,45
"Uzbekistan",2018,38
