"Country","Year","Total"
"Netherlands (Kingdom of the)",2015,0.386689551854553
"Netherlands (Kingdom of the)",2016,0.496408458055042
"Netherlands (Kingdom of the)",2017,0.425475558263715
"Netherlands (Kingdom of the)",2018,0.450781600287328
"Netherlands (Kingdom of the)",2019,0.368488959169327
"Netherlands (Kingdom of the)",2020,0.820927998151011
"Netherlands (Kingdom of the)",2021,0.370486502759366
"Netherlands (Kingdom of the)",2022,0.454222970365707
"North Macedonia",2022,0.883006105987223
"Norway",2013,0.555281047120203
"Norway",2014,0.0822388710247785
"Norway",2015,0.363118754357425
"Norway",2016,0
"Norway",2017,0
"Norway",2018,0.7273044641948
"Norway",2019,0.16852181093538
"Norway",2020,0.162361383968437
"Norway",2021,0.387089781603945
"Norway",2022,0.167589526324963
"Poland",2016,0.145781558585902
"Poland",2017,0.494780859764197
"Poland",2018,0.616671543349791
"Poland",2019,0.637596078502084
"Poland",2020,0.435471454359778
"Poland",2021,0.473533443367439
"Poland",2022,0.281545979319575
"Portugal",2010,0
"Portugal",2011,0.335337263049637
"Portugal",2012,0.102810378148116
"Portugal",2013,0.302244760321679
"Portugal",2014,0.089998805461507
"Portugal",2015,0.404491968353151
"Portugal",2016,0.260135573847756
"Portugal",2017,0
"Portugal",2018,0.22443751019061
"Portugal",2019,0.0937058054379175
"Portugal",2020,0.105014984082451
"Portugal",2021,0.341062048683455
"Russian Federation",2020,1.41401236987786
"Russian Federation",2021,1.51610443283758
"Serbia",2010,1.34022544482911
"Serbia",2011,0.815447843955901
"Serbia",2012,0.98272419205123
"Serbia",2013,1.14663009532449
"Serbia",2014,1.71571937723306
"Serbia",2015,1.16179520535178
"Serbia",2016,1.24724738072393
"Serbia",2017,0.79716657743051
"Serbia",2018,0.665434998967774
"Serbia",2019,1.93202397934774
"Serbia",2020,1.14454202780405
"Serbia",2021,0.276361807350948
"Serbia",2022,0.278441396439291
"Slovakia",2010,1.3366124893071
"Slovakia",2011,3.36572411040496
"Slovakia",2012,1.41170896756653
"Slovakia",2013,2.99250969131875
"Slovakia",2014,2.40729317494448
"Slovakia",2015,0.862039240026205
"Slovakia",2016,3.37862807560265
"Slovakia",2017,0.85566622172023
"Slovakia",2018,1.79027744639323
"Slovakia",2019,4.48611547261226
"Slovakia",2020,2.79259404060431
"Slovakia",2021,18.0572414554136
"Slovenia",2013,0
"Slovenia",2014,0
"Slovenia",2015,0
"Slovenia",2016,0
"Slovenia",2017,0
"Slovenia",2018,0
"Slovenia",2019,0
"Slovenia",2020,0
"Slovenia",2021,0
"Slovenia",2022,0
"Spain",2016,0.40314893496528
"Spain",2017,0.420782879985667
"Spain",2018,0.415753879494576
"Spain",2019,0.333502807542829
"Spain",2020,0.319266791900749
"Spain",2021,0.321507699702034
"Spain",2022,0.297357311860248
"Switzerland",2010,0.722548334268218
"Switzerland",2011,0.260417165270856
"Switzerland",2012,0.461221887755378
"Switzerland",2013,0.471448742933388
"Switzerland",2014,0.122585590872231
"Switzerland",2015,0.747314288836875
"Switzerland",2016,0.327690938191835
"Switzerland",2017,0.28766382454808
"Switzerland",2018,0.73343012623832
"Switzerland",2019,0.509413222642445
"Switzerland",2020,0.408015816024916
"Switzerland",2021,0.117148420019259
"Switzerland",2022,0.559472430550612
"Türkiye",2016,1.78713284436433
"Türkiye",2017,1.84961713825342
"Türkiye",2018,1.54698204986386
"Türkiye",2019,1.50891046532155
"Türkiye",2020,1.61842217773421
"Türkiye",2021,1.47601570498347
"Türkiye",2022,0.411742401898501
