"Country","Year","Value"
"Iceland",2017-01-01,0
"Ireland",2017-01-01,0.298494428854309
"Italy",2017-01-01,0.289251049466806
"Kosovo under UNSCR 1244",2017-01-01,2.66810333437674
"Latvia",2017-01-01,0.49075902672012
"Lithuania",2017-01-01,0.751653638003608
"Malta",2017-01-01,0
"Montenegro",2017-01-01,NA
"Netherlands (Kingdom of the)",2017-01-01,0.425475558263715
"Norway",2017-01-01,0
"Poland",2017-01-01,0.494780859764197
"Portugal",2017-01-01,0
"Serbia",2017-01-01,0.79716657743051
"Slovakia",2017-01-01,0.85566622172023
"Slovenia",2017-01-01,0
"Spain",2017-01-01,0.420782879985667
"Switzerland",2017-01-01,0.28766382454808
"Türkiye",2017-01-01,1.84961713825342
"Austria",2018-01-01,1.09027254214596
"Croatia",2018-01-01,0.123744304668378
"Czechia",2018-01-01,NA
"Denmark",2018-01-01,0.325681364708059
"Finland",2018-01-01,0.574734994587915
"France",2018-01-01,1.05342042852986
"Germany",2018-01-01,0.871010201524055
"Hungary",2018-01-01,0.52636583122485
"Iceland",2018-01-01,0
"Ireland",2018-01-01,0.884033487822555
"Italy",2018-01-01,0.469047861034008
"Kosovo under UNSCR 1244",2018-01-01,0.961854284235651
"Latvia",2018-01-01,1.87959673269789
"Lithuania",2018-01-01,1.5692674659469
"Malta",2018-01-01,0
"Montenegro",2018-01-01,1.86655384385655
"Netherlands (Kingdom of the)",2018-01-01,0.450781600287328
"Norway",2018-01-01,0.7273044641948
"Poland",2018-01-01,0.616671543349791
"Portugal",2018-01-01,0.22443751019061
"Serbia",2018-01-01,0.665434998967774
"Slovakia",2018-01-01,1.79027744639323
"Slovenia",2018-01-01,0
"Spain",2018-01-01,0.415753879494576
"Switzerland",2018-01-01,0.73343012623832
"Türkiye",2018-01-01,1.54698204986386
"Austria",2019-01-01,0.978292822103443
"Croatia",2019-01-01,0.385337623206714
"Czechia",2019-01-01,NA
"Denmark",2019-01-01,0.777155632156172
"Finland",2019-01-01,NA
"France",2019-01-01,1.14135301350876
"Germany",2019-01-01,0.630730460285547
"Hungary",2019-01-01,0.94197716049752
"Iceland",2019-01-01,0
"Ireland",2019-01-01,0.481998846200942
"Italy",2019-01-01,0.430113500279411
"Kosovo under UNSCR 1244",2019-01-01,2.51003874386073
"Latvia",2019-01-01,2.96570229713637
"Lithuania",2019-01-01,0.84305658595805
"Malta",2019-01-01,0
"Montenegro",2019-01-01,12.4428411820106
"Netherlands (Kingdom of the)",2019-01-01,0.368488959169327
"Norway",2019-01-01,0.16852181093538
"Poland",2019-01-01,0.637596078502084
"Portugal",2019-01-01,0.0937058054379175
"Serbia",2019-01-01,1.93202397934774
"Slovakia",2019-01-01,4.48611547261226
"Slovenia",2019-01-01,0
"Spain",2019-01-01,0.333502807542829
"Switzerland",2019-01-01,0.509413222642445
"Türkiye",2019-01-01,1.50891046532155
"Austria",2020-01-01,1.32719846595631
"Croatia",2020-01-01,0
"Czechia",2020-01-01,NA
"Denmark",2020-01-01,0.71800272832453
"Finland",2020-01-01,NA
"France",2020-01-01,0.87512894011953
"Germany",2020-01-01,0.772641108176789
"Hungary",2020-01-01,0.219093394770079
"Iceland",2020-01-01,0
"Ireland",2020-01-01,0.305087924259989
"Italy",2020-01-01,0.264375472831786
"Kosovo under UNSCR 1244",2020-01-01,2.89645184648805
"Latvia",2020-01-01,3.5530718333928
"Lithuania",2020-01-01,0.913342101417507
"Malta",2020-01-01,0
"Montenegro",2020-01-01,1.27286381630029
"Netherlands (Kingdom of the)",2020-01-01,0.820927998151011
"Norway",2020-01-01,0.162361383968437
"Poland",2020-01-01,0.435471454359778
"Portugal",2020-01-01,0.105014984082451
"Serbia",2020-01-01,1.14454202780405
"Slovakia",2020-01-01,2.79259404060431
"Slovenia",2020-01-01,0
"Spain",2020-01-01,0.319266791900749
"Switzerland",2020-01-01,0.408015816024916
"Türkiye",2020-01-01,1.61842217773421
"Austria",2021-01-01,0.983777860399883
"Croatia",2021-01-01,0.400787480530039
"Czechia",2021-01-01,NA
"Denmark",2021-01-01,1.9526107482266
"Finland",2021-01-01,NA
"France",2021-01-01,0.93256454984485
"Germany",2021-01-01,0.807892394881288
"Hungary",2021-01-01,0.578485979385037
"Iceland",2021-01-01,0
"Ireland",2021-01-01,0.456232981439082
"Italy",2021-01-01,0.288899464141956
"Kosovo under UNSCR 1244",2021-01-01,0.795178040363237
"Latvia",2021-01-01,0.247911346902348
"Lithuania",2021-01-01,1.01149053244862
"Malta",2021-01-01,0
"Montenegro",2021-01-01,3.21440051430407
"Netherlands (Kingdom of the)",2021-01-01,0.370486502759366
"Norway",2021-01-01,0.387089781603945
"Poland",2021-01-01,0.473533443367439
"Portugal",2021-01-01,0.341062048683455
"Serbia",2021-01-01,0.276361807350948
"Slovakia",2021-01-01,18.0572414554136
"Slovenia",2021-01-01,0
"Spain",2021-01-01,0.321507699702034
"Switzerland",2021-01-01,0.117148420019259
"Türkiye",2021-01-01,1.47601570498347
"Austria",2022-01-01,0.576638892702139
"Croatia",2022-01-01,1.08217780889286
"Czechia",2022-01-01,NA
"Denmark",2022-01-01,0.333986276503899
"Finland",2022-01-01,NA
"France",2022-01-01,0.634856539174032
"Germany",2022-01-01,0.572407326447739
"Hungary",2022-01-01,0.519359025285617
"Iceland",2022-01-01,0
"Ireland",2022-01-01,0.79631354703429
"Italy",2022-01-01,0.131566269870526
"Kosovo under UNSCR 1244",2022-01-01,NA
"Latvia",2022-01-01,1.04411441578611
"Lithuania",2022-01-01,0.34559623991291
"Malta",2022-01-01,0
"Montenegro",2022-01-01,1.29711780423898
"Netherlands (Kingdom of the)",2022-01-01,0.454222970365707
"Norway",2022-01-01,0.167589526324963
"Poland",2022-01-01,0.281545979319575
"Portugal",2022-01-01,NA
"Serbia",2022-01-01,0.278441396439291
"Slovakia",2022-01-01,NA
"Slovenia",2022-01-01,0
"Spain",2022-01-01,0.297357311860248
"Switzerland",2022-01-01,0.559472430550612
"Türkiye",2022-01-01,0.411742401898501
"Austria",2023-01-01,NA
"Croatia",2023-01-01,NA
"Czechia",2023-01-01,NA
"Denmark",2023-01-01,NA
"Finland",2023-01-01,NA
"France",2023-01-01,NA
"Germany",2023-01-01,NA
"Hungary",2023-01-01,NA
"Iceland",2023-01-01,NA
"Ireland",2023-01-01,NA
"Italy",2023-01-01,NA
"Kosovo under UNSCR 1244",2023-01-01,NA
"Latvia",2023-01-01,NA
"Lithuania",2023-01-01,NA
"Malta",2023-01-01,NA
"Montenegro",2023-01-01,NA
"Netherlands (Kingdom of the)",2023-01-01,NA
"Norway",2023-01-01,NA
"Poland",2023-01-01,NA
"Portugal",2023-01-01,NA
"Serbia",2023-01-01,NA
"Slovakia",2023-01-01,NA
"Slovenia",2023-01-01,NA
"Spain",2023-01-01,NA
"Switzerland",2023-01-01,NA
"Türkiye",2023-01-01,NA
