"Country","Year","Value"
"Denmark",2016-01-01,3
"Estonia",2016-01-01,1
"Finland",2016-01-01,2
"France",2016-01-01,104
"Germany",2016-01-01,131
"Hungary",2016-01-01,8
"Iceland",2016-01-01,0
"Ireland",2016-01-01,6
"Italy",2016-01-01,26
"Kosovo under UNSCR 1244",2016-01-01,4
"Latvia",2016-01-01,2
"Lithuania",2016-01-01,7
"Malta",2016-01-01,0
"Montenegro",2016-01-01,NA
"Netherlands (Kingdom of the)",2016-01-01,8
"Norway",2016-01-01,2
"Poland",2016-01-01,11
"Portugal",2016-01-01,7.15662650602409
"Serbia",2016-01-01,6
"Slovakia",2016-01-01,4
"Slovenia",2016-01-01,0
"Spain",2016-01-01,23
"Switzerland",2016-01-01,3
"Türkiye",2016-01-01,245
"United Kingdom",2016-01-01,138
"Austria",2017-01-01,8
"Croatia",2017-01-01,5
"Czechia",2017-01-01,7
"Denmark",2017-01-01,15
"Estonia",2017-01-01,1
"Finland",2017-01-01,8
"France",2017-01-01,85
"Germany",2017-01-01,82
"Hungary",2017-01-01,22
"Iceland",2017-01-01,0
"Ireland",2017-01-01,5
"Italy",2017-01-01,24
"Kosovo under UNSCR 1244",2017-01-01,7
"Latvia",2017-01-01,5
"Lithuania",2017-01-01,3
"Malta",2017-01-01,0
"Montenegro",2017-01-01,NA
"Netherlands (Kingdom of the)",2017-01-01,16
"Norway",2017-01-01,0
"Poland",2017-01-01,18
"Portugal",2017-01-01,0
"Serbia",2017-01-01,4
"Slovakia",2017-01-01,1
"Slovenia",2017-01-01,0
"Spain",2017-01-01,22
"Switzerland",2017-01-01,1
"Türkiye",2017-01-01,257
"United Kingdom",2017-01-01,135
"Austria",2018-01-01,10
"Croatia",2018-01-01,2
"Czechia",2018-01-01,NA
"Denmark",2018-01-01,5
"Estonia",2018-01-01,1
"Finland",2018-01-01,4
"France",2018-01-01,96
"Germany",2018-01-01,99
"Hungary",2018-01-01,9
"Iceland",2018-01-01,0
"Ireland",2018-01-01,4
"Italy",2018-01-01,26
"Kosovo under UNSCR 1244",2018-01-01,4
"Latvia",2018-01-01,5
"Lithuania",2018-01-01,4
"Malta",2018-01-01,0
"Montenegro",2018-01-01,4
"Netherlands (Kingdom of the)",2018-01-01,11
"Norway",2018-01-01,6
"Poland",2018-01-01,30
"Portugal",2018-01-01,2.025
"Serbia",2018-01-01,4
"Slovakia",2018-01-01,6
"Slovenia",2018-01-01,0
"Spain",2018-01-01,27
"Switzerland",2018-01-01,5
"Türkiye",2018-01-01,202
"United Kingdom",2018-01-01,119
"Austria",2019-01-01,10
"Croatia",2019-01-01,3
"Czechia",2019-01-01,NA
"Denmark",2019-01-01,4
"Estonia",2019-01-01,1
"Finland",2019-01-01,0
"France",2019-01-01,93
"Germany",2019-01-01,69
"Hungary",2019-01-01,12
"Iceland",2019-01-01,0
"Ireland",2019-01-01,3
"Italy",2019-01-01,22
"Kosovo under UNSCR 1244",2019-01-01,10
"Latvia",2019-01-01,7
"Lithuania",2019-01-01,4
"Malta",2019-01-01,0
"Montenegro",2019-01-01,2
"Netherlands (Kingdom of the)",2019-01-01,10
"Norway",2019-01-01,4
"Poland",2019-01-01,37
"Portugal",2019-01-01,4.92134831460674
"Serbia",2019-01-01,13
"Slovakia",2019-01-01,15
"Slovenia",2019-01-01,1
"Spain",2019-01-01,26
"Switzerland",2019-01-01,11
"Türkiye",2019-01-01,200
"United Kingdom",2019-01-01,10
"Austria",2020-01-01,11
"Croatia",2020-01-01,2
"Czechia",2020-01-01,NA
"Denmark",2020-01-01,3
"Estonia",2020-01-01,0
"Finland",2020-01-01,NA
"France",2020-01-01,77
"Germany",2020-01-01,102
"Hungary",2020-01-01,7
"Iceland",2020-01-01,0
"Ireland",2020-01-01,6
"Italy",2020-01-01,17
"Kosovo under UNSCR 1244",2020-01-01,5
"Latvia",2020-01-01,7
"Lithuania",2020-01-01,2
"Malta",2020-01-01,0
"Montenegro",2020-01-01,2
"Netherlands (Kingdom of the)",2020-01-01,18
"Norway",2020-01-01,2
"Poland",2020-01-01,19
"Portugal",2020-01-01,4.55056179775281
"Serbia",2020-01-01,7
"Slovakia",2020-01-01,6
"Slovenia",2020-01-01,0
"Spain",2020-01-01,21
"Switzerland",2020-01-01,10
"Türkiye",2020-01-01,197
"United Kingdom",2020-01-01,8
"Austria",2021-01-01,11
"Croatia",2021-01-01,3
"Czechia",2021-01-01,NA
"Denmark",2021-01-01,8
"Estonia",2021-01-01,1
"Finland",2021-01-01,NA
"France",2021-01-01,87
"Germany",2021-01-01,107
"Hungary",2021-01-01,9
"Iceland",2021-01-01,0
"Ireland",2021-01-01,3
"Italy",2021-01-01,23
"Kosovo under UNSCR 1244",2021-01-01,1
"Latvia",2021-01-01,4
"Lithuania",2021-01-01,1
"Malta",2021-01-01,0
"Montenegro",2021-01-01,1
"Netherlands (Kingdom of the)",2021-01-01,15
"Norway",2021-01-01,3
"Poland",2021-01-01,26
"Portugal",2021-01-01,9
"Serbia",2021-01-01,1
"Slovakia",2021-01-01,18
"Slovenia",2021-01-01,0
"Spain",2021-01-01,21
"Switzerland",2021-01-01,3
"Türkiye",2021-01-01,176
"United Kingdom",2021-01-01,5
"Austria",2022-01-01,8
"Croatia",2022-01-01,5
"Czechia",2022-01-01,NA
"Denmark",2022-01-01,5
"Estonia",2022-01-01,0
"Finland",2022-01-01,NA
"France",2022-01-01,111
"Germany",2022-01-01,81
"Hungary",2022-01-01,10
"Iceland",2022-01-01,0
"Ireland",2022-01-01,6
"Italy",2022-01-01,15
"Kosovo under UNSCR 1244",2022-01-01,NA
"Latvia",2022-01-01,7
"Lithuania",2022-01-01,4
"Malta",2022-01-01,0
"Montenegro",2022-01-01,2
"Netherlands (Kingdom of the)",2022-01-01,17
"Norway",2022-01-01,1
"Poland",2022-01-01,23
"Portugal",2022-01-01,NA
"Serbia",2022-01-01,1
"Slovakia",2022-01-01,3
"Slovenia",2022-01-01,0
"Spain",2022-01-01,26
"Switzerland",2022-01-01,8
"Türkiye",2022-01-01,219
"United Kingdom",2022-01-01,3
"Austria",2023-01-01,NA
"Croatia",2023-01-01,NA
"Czechia",2023-01-01,NA
"Denmark",2023-01-01,NA
"Estonia",2023-01-01,NA
"Finland",2023-01-01,NA
"France",2023-01-01,NA
"Germany",2023-01-01,NA
"Hungary",2023-01-01,NA
"Iceland",2023-01-01,NA
"Ireland",2023-01-01,NA
"Italy",2023-01-01,NA
"Kosovo under UNSCR 1244",2023-01-01,NA
"Latvia",2023-01-01,NA
"Lithuania",2023-01-01,NA
"Malta",2023-01-01,NA
"Montenegro",2023-01-01,NA
"Netherlands (Kingdom of the)",2023-01-01,NA
"Norway",2023-01-01,NA
"Poland",2023-01-01,NA
"Portugal",2023-01-01,NA
"Serbia",2023-01-01,NA
"Slovakia",2023-01-01,NA
"Slovenia",2023-01-01,NA
"Spain",2023-01-01,NA
"Switzerland",2023-01-01,NA
"Türkiye",2023-01-01,NA
"United Kingdom",2023-01-01,NA
