"","Country","Year","Value"
"58","Bosnia and Herzegovina",2015-01-01,2.57
"59","France",2015-01-01,NA
"60","Republic of Moldova",2015-01-01,4.09
"61","Serbia",2015-01-01,NA
"62","Slovakia",2015-01-01,NA
"63","Tajikistan",2015-01-01,0.25
"64","Türkiye",2015-01-01,0.11
"65","United Kingdom",2015-01-01,1.05
"66","Uzbekistan",2015-01-01,0.57
"67","Albania",2016-01-01,6.81
"68","Belarus",2016-01-01,3.76
"69","Bosnia and Herzegovina",2016-01-01,1.56
"70","France",2016-01-01,NA
"71","Republic of Moldova",2016-01-01,4.96
"72","Serbia",2016-01-01,0.39
"73","Slovakia",2016-01-01,0.8
"74","Tajikistan",2016-01-01,0.16
"75","Türkiye",2016-01-01,0.15
"76","United Kingdom",2016-01-01,1.37
"77","Uzbekistan",2016-01-01,0.54
"78","Albania",2017-01-01,10.64
"79","Belarus",2017-01-01,1.73
"80","Bosnia and Herzegovina",2017-01-01,7.49
"81","France",2017-01-01,NA
"82","Republic of Moldova",2017-01-01,6.81
"83","Serbia",2017-01-01,1.01
"84","Slovakia",2017-01-01,1.09
"85","Tajikistan",2017-01-01,0.29
"86","Türkiye",2017-01-01,0.41
"87","United Kingdom",2017-01-01,15.14
"88","Uzbekistan",2017-01-01,0.69
"89","Albania",2018-01-01,10.92
"90","Belarus",2018-01-01,1.57
"91","Bosnia and Herzegovina",2018-01-01,3.89
"92","France",2018-01-01,2.9
"93","Republic of Moldova",2018-01-01,9.08
"94","Serbia",2018-01-01,1.79
"95","Slovakia",2018-01-01,1.39
"96","Tajikistan",2018-01-01,0.26
"97","Türkiye",2018-01-01,0.07
"98","United Kingdom",2018-01-01,22.27
"99","Uzbekistan",2018-01-01,0.5
"100","Albania",2019-01-01,11.17
"101","Belarus",2019-01-01,1.47
"102","Bosnia and Herzegovina",2019-01-01,5.93
"103","France",2019-01-01,2.52
"104","Republic of Moldova",2019-01-01,3.97
"105","Serbia",2019-01-01,1.02
"106","Slovakia",2019-01-01,0.98
"107","Tajikistan",2019-01-01,0.25
"108","Türkiye",2019-01-01,0.13
"109","United Kingdom",2019-01-01,32.21
"110","Uzbekistan",2019-01-01,0.37
"111","Albania",2020-01-01,9.88
"112","Belarus",2020-01-01,1.78
"113","Bosnia and Herzegovina",2020-01-01,5.86
"114","France",2020-01-01,2.17
"115","Republic of Moldova",2020-01-01,3.25
"116","Serbia",2020-01-01,1.03
"117","Slovakia",2020-01-01,1.56
"118","Tajikistan",2020-01-01,0.2
"119","Türkiye",2020-01-01,0.68
"120","United Kingdom",2020-01-01,34.94
"121","Uzbekistan",2020-01-01,0.43
"122","Albania",2021-01-01,19.5
"123","Belarus",2021-01-01,6.21
"124","Bosnia and Herzegovina",2021-01-01,8.33
"125","France",2021-01-01,3.61
"126","Republic of Moldova",2021-01-01,3.1
"127","Serbia",2021-01-01,1.36
"128","Slovakia",2021-01-01,1.27
"129","Tajikistan",2021-01-01,0.22
"130","Türkiye",2021-01-01,0.5
"131","United Kingdom",2021-01-01,38.56
"132","Uzbekistan",2021-01-01,0.49
"133","Albania",2022-01-01,13.14
"134","Belarus",2022-01-01,6.91
"135","Bosnia and Herzegovina",2022-01-01,4.48
"136","France",2022-01-01,3.65
"137","Republic of Moldova",2022-01-01,5.88
"138","Serbia",2022-01-01,2.01
"139","Slovakia",2022-01-01,0.94
"140","Tajikistan",2022-01-01,0.19
"141","Türkiye",2022-01-01,0.3
"142","United Kingdom",2022-01-01,NA
"143","Uzbekistan",2022-01-01,0.3
