"Goal 5: Gender equality"

"5.2.1 - Women & girls subjected to physical and/or sexual violence","Kazakhstan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.9,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Kyrgyzstan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.6,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Latvia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Liechtenstein",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Lithuania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.1,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Netherlands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","North Macedonia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Norway",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Portugal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Republic of Moldova",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.2,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Romania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.7,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Russian Federation",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","San Marino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Slovakia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Slovenia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Spain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Sweden",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.8,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Switzerland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Tajikistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.0,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Turkiye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.5,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Ukraine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.3,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","United Kingdom",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","United States",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.2,..,..,..,..,..,..
"5.2.1 - Women & girls subjected to physical and/or sexual violence","Uzbekistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
