"Country","ISO3","Year","Sex","AgeGroup","Indicator","StatisticalUnit","Value","Source","ICVACCategory","Dataset","Comments"
"Slovenia","SVN",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2200,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
"Slovenia","SVN",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2455,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
"Slovenia","SVN",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2402,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
"Slovenia","SVN",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2058,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
"Slovenia","SVN",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2308,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The sum by individual age is not equal to the total since a victim may be victim more than once in a year and change age during this time. Each victim is counted only once within an individual age but can be counted again in another age category within the same year."
"Latvia","LVA",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",526,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Latvia","LVA",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",565,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Latvia","LVA",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",532,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Latvia","LVA",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",528,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Latvia","LVA",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",549,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Latvia","LVA",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",494,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Latvia","LVA",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",501,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Latvia","LVA",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",537,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Refer to the end of the year."
"Lithuania","LTU",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2165,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2723,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3635,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3337,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2522,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1720,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1614,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1552,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2499,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2243,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2221,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2335,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2411,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1900,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1696,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1979,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1164,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1301,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1340,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1248,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1226,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1035,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1129,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Albania","ALB",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1058,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",655,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",655,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",710,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",690,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",745,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",659,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",735,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",880,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3792,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3513,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3532,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3387,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",4328,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",4376,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",5106,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",5329,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1311,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1495,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1619,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1300,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1309,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",959,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1301,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kosovo (UNSCR 1244)","XKX",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1386,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Montenegro","MNE",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",335,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Includes children who reached 18 years old."
"Montenegro","MNE",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",314,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Includes children who reached 18 years old."
"Montenegro","MNE",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",246,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Includes children who reached 18 years old."
"Montenegro","MNE",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",311,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Includes children who reached 18 years old."
"Serbia","SRB",2015,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3256,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2016,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3443,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2017,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3527,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3479,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3494,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2887,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2021,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3105,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2022,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3379,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"North Macedonia","MKD",2018,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",222,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Data refer to those registered by the Ministry of Interior. In 2020: Аs a result of the increasing number of detected cases and registered crimes of smuggling of migrants (article 418-b) in which the victims are children under 18 (total 377 children). Partial data for 2018-2021. From 2022, a new system of registration (application) of crimes has been applied in the Ministry of interior."
"North Macedonia","MKD",2019,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",258,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Data refer to those registered by the Ministry of Interior. In 2020: Аs a result of the increasing number of detected cases and registered crimes of smuggling of migrants (article 418-b) in which the victims are children under 18 (total 377 children). Partial data for 2018-2021. From 2022, a new system of registration (application) of crimes has been applied in the Ministry of interior."
"North Macedonia","MKD",2020,"Total","0-17","Number of child victims of crime (0-17 years) registered by the police during the year","Number",471,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Data refer to those registered by the Ministry of Interior. In 2020: Аs a result of the increasing number of detected cases and registered crimes of smuggling of migrants (article 418-b) in which the victims are children under 18 (total 377 children). Partial data for 2018-2021. From 2022, a new system of registration (application) of crimes has been applied in the Ministry of interior."
