"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","RelationshipPerpetrator","Source","Dataset","ICVACCategory"
"Albania","ALB","Victims of intentional homicide",2007,18,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2007,4,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2007,29,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2007,26,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2007,48,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2007,13,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2007,80,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2007,178,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2007,40,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Luxembourg","LUX","Victims of intentional homicide",2007,3,"Total","Total","Counts","Intimate partner or family member","CTS/OHCHR","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2007,16,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2007,11,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2007,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2007,49,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Romania","ROU","Victims of intentional homicide",2007,93,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2007,8,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2008,12,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2008,2,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2008,27,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2008,38,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2008,42,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2008,15,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2008,70,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2008,188,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2008,57,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Luxembourg","LUX","Victims of intentional homicide",2008,2,"Total","Total","Counts","Intimate partner or family member","CTS/OHCHR","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2008,30,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2008,13,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2008,1,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2008,36,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Romania","ROU","Victims of intentional homicide",2008,115,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2008,6,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2009,11,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2009,3,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2009,39,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2009,25,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2009,54,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2009,333,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2009,42,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2009,20,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2009,62,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2009,199,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2009,44,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Luxembourg","LUX","Victims of intentional homicide",2009,1,"Total","Total","Counts","Intimate partner or family member","CTS/OHCHR","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2009,17,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2009,17,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2009,2,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2009,49,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2009,191,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Romania","ROU","Victims of intentional homicide",2009,83,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2009,6,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2009,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2010,20,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2010,6,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2010,26,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Azerbaijan","AZE","Victims of intentional homicide",2010,34,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2010,22,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2010,26,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2010,58,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2010,343,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2010,142,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2010,35,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Georgia","GEO","Victims of intentional homicide",2010,6,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2010,13,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2010,22,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2010,42,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2010,0,"Total","Total","Counts","Intimate partner or family member","CTS/SDG","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2010,182,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Liechtenstein","LIE","Victims of intentional homicide",2010,1,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2010,50,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Luxembourg","LUX","Victims of intentional homicide",2010,5,"Total","Total","Counts","Intimate partner or family member","CTS/OHCHR","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2010,33,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2010,13,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2010,1,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2010,60,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2010,181,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Romania","ROU","Victims of intentional homicide",2010,79,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2010,2250,"Total","Total","Counts","Intimate partner or family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2010,31,"Total","Total","Counts","Intimate partner or family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2010,5,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2010,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2011,28,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2011,2,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2011,33,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2011,16,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Belarus","BLR","Victims of intentional homicide",2011,87,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2011,27,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Cyprus","CYP","Victims of intentional homicide",2011,4,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2011,44,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2011,318,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2011,105,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2011,43,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2011,14,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2011,19,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2011,42,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2011,2,"Total","Total","Counts","Intimate partner or family member","CTS/SDG","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2011,197,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Liechtenstein","LIE","Victims of intentional homicide",2011,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2011,43,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Luxembourg","LUX","Victims of intentional homicide",2011,0,"Total","Total","Counts","Intimate partner or family member","CTS/OHCHR","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2011,22,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2011,8,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2011,3,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2011,7,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2011,49,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2011,177,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Romania","ROU","Victims of intentional homicide",2011,77,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2011,2156,"Total","Total","Counts","Intimate partner or family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2011,23,"Total","Total","Counts","Intimate partner or family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2011,5,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2011,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2012,28,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2012,7,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2012,20,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Azerbaijan","AZE","Victims of intentional homicide",2012,56,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2012,21,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Belarus","BLR","Victims of intentional homicide",2012,80,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2012,22,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Cyprus","CYP","Victims of intentional homicide",2012,4,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2012,55,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2012,287,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2012,101,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2012,36,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2012,13,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2012,27,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2012,50,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2012,1,"Total","Total","Counts","Intimate partner or family member","CTS/SDG","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2012,174,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Liechtenstein","LIE","Victims of intentional homicide",2012,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2012,35,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2012,8,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2012,12,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2012,2,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2012,41,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Poland","POL","Victims of intentional homicide",2012,125,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2012,12,"Total","Total","Counts","Intimate partner or family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2012,6,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2012,0,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2013,28,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2013,2,"Total","Total","Counts","Intimate partner or family member","CTS/Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2013,30,"Total","Total","Counts","Intimate partner or family member","CTS/GSH 2023 Revision","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Azerbaijan","AZE","Victims of intentional homicide",2013,62,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2013,17,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Belarus","BLR","Victims of intentional homicide",2013,80,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2013,23,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Cyprus","CYP","Victims of intentional homicide",2013,3,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2013,32,"Total","Total","Counts","Intimate partner or family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
