"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","Comments","Reliability","WealthQuintile"
"Estonia","EST","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Finland","FIN","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Finland","FIN","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Finland","FIN","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"France","FRA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"France","FRA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"France","FRA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Georgia","GEO","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",68.8,"Total","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Georgia","GEO","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",66.5,"Female","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Georgia","GEO","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",71,"Male","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Germany","DEU","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Germany","DEU","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Germany","DEU","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Greece","GRC","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Greece","GRC","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Greece","GRC","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Holy See","VAT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Holy See","VAT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Holy See","VAT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Hungary","HUN","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Hungary","HUN","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Hungary","HUN","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Iceland","ISL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Iceland","ISL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Iceland","ISL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Ireland","IRL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Ireland","IRL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Ireland","IRL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Italy","ITA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Italy","ITA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Italy","ITA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Kazakhstan","KAZ","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",52.7,"Total","1-14","Rate","MICS 2015","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Kazakhstan","KAZ","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",49.9,"Female","1-14","Rate","MICS 2015","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Kazakhstan","KAZ","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",55.2,"Male","1-14","Rate","MICS 2015","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Kyrgyzstan","KGZ","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",74.3,"Total","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Kyrgyzstan","KGZ","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",73,"Female","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Kyrgyzstan","KGZ","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",75.5,"Male","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Latvia","LVA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Latvia","LVA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Latvia","LVA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Liechtenstein","LIE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Liechtenstein","LIE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Liechtenstein","LIE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Lithuania","LTU","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Lithuania","LTU","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Lithuania","LTU","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Luxembourg","LUX","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Luxembourg","LUX","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Luxembourg","LUX","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Malta","MLT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Malta","MLT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Malta","MLT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",65.8,"Total","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",65.5,"Female","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",66.1,"Male","1-14","Rate","MICS 2018","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"North Macedonia","MKD","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",73.1,"Total","1-14","Rate","MICS 2018-19","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"North Macedonia","MKD","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",69.5,"Female","1-14","Rate","MICS 2018-19","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"North Macedonia","MKD","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",75.6,"Male","1-14","Rate","MICS 2018-19","UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Norway","NOR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Norway","NOR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Norway","NOR","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Poland","POL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Poland","POL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Poland","POL","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Portugal","PRT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Total","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Portugal","PRT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Female","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Portugal","PRT","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",NA,"Male","1-14","Rate",NA,"UNICEF-CHLD-DISCIPLINE","Composite phoenomena",NA,NA,NA
"Republic of Moldova","MDA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",75.6,"Total","1-14","Rate","MICS 2012","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Republic of Moldova","MDA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",73.8,"Female","1-14","Rate","MICS 2012","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
"Republic of Moldova","MDA","Percentage of children 1–14 years old who experience any violent discipline (psychological aggression and/or physical punishment) in the past month.","2024",77.4,"Male","1-14","Rate","MICS 2012","UNICEF-CHLD-DISCIPLINE","Composite phoenomena","Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. | Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",NA,NA
