"Country","ISO3","Year","Sex","AgeGroup","Indicator","StatisticalUnit","Value","Source","ICVACCategory","Dataset","WealthQuintile"
"Armenia","ARM","2016","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months often","Rate",1.1,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months often","Rate",1.5,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.7,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.5,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",1.9,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",0,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",0.9,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",1.6,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",2.3,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",3.2,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",1.1,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",4.5,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",2.5,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",0,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",1,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",1.7,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",2.7,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",4.3,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",2.6,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",5.2,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-49","Percentage of women who ever experienced sexual violence","Rate",0.9,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","15-19","Percentage of women who ever experienced sexual violence","Rate",0,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","20-24","Percentage of women who ever experienced sexual violence","Rate",0.1,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","25-29","Percentage of women who ever experienced sexual violence","Rate",0.4,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","30-34","Percentage of women who ever experienced sexual violence","Rate",0.9,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","35-39","Percentage of women who ever experienced sexual violence","Rate",1.5,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","40-44","Percentage of women who ever experienced sexual violence","Rate",1.8,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Armenia","ARM","2016","Female","45-49","Percentage of women who ever experienced sexual violence","Rate",1.9,"2015-16 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-49","Ever experienced physical violence since age 15","Rate",13.3,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-19","Ever experienced physical violence since age 15","Rate",8.6,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","20-24","Ever experienced physical violence since age 15","Rate",10.8,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","25-29","Ever experienced physical violence since age 15","Rate",14.9,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","30-34","Ever experienced physical violence since age 15","Rate",16.4,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","35-39","Ever experienced physical violence since age 15","Rate",13.9,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","40-44","Ever experienced physical violence since age 15","Rate",16.1,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","45-49","Ever experienced physical violence since age 15","Rate",14.4,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.9,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often","Rate",1,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often","Rate",2.5,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months often","Rate",2.1,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months often","Rate",1.2,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months often","Rate",1.6,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",2.5,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",1.6,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",6,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",3.7,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",6.3,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",6.5,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",7.9,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",7.9,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",5.4,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",5.9,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",7.7,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",4.7,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",7.4,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",9,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",10,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",9.1,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",7,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",8.4,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-49","Percentage of women who ever experienced sexual violence","Rate",3.7,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","15-19","Percentage of women who ever experienced sexual violence","Rate",0.4,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","20-24","Percentage of women who ever experienced sexual violence","Rate",3,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","25-29","Percentage of women who ever experienced sexual violence","Rate",4.7,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","30-34","Percentage of women who ever experienced sexual violence","Rate",5.6,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","35-39","Percentage of women who ever experienced sexual violence","Rate",4.6,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","40-44","Percentage of women who ever experienced sexual violence","Rate",5.2,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Azerbaijan","AZE","2006","Female","45-49","Percentage of women who ever experienced sexual violence","Rate",4.2,"2006 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-49","Ever experienced physical violence since age 15","Rate",23.1,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-19","Ever experienced physical violence since age 15","Rate",6.3,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","20-24","Ever experienced physical violence since age 15","Rate",13.8,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","25-29","Ever experienced physical violence since age 15","Rate",26.7,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","30-34","Ever experienced physical violence since age 15","Rate",32.4,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","35-39","Ever experienced physical violence since age 15","Rate",33.8,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","40-44","Ever experienced physical violence since age 15","Rate",30.7,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","45-49","Ever experienced physical violence since age 15","Rate",36.1,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.1,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often","Rate",1.5,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often","Rate",5.5,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months often","Rate",7.6,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months often","Rate",6,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months often","Rate",7.1,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",7.5,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",4.4,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",8.9,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",3.8,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",6.2,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",12.3,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",13.1,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",12.9,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",9.5,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",9.2,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",13.3,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",3.9,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",7.7,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",17.8,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",20.6,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",18.9,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",16.6,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",16.7,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-49","Percentage of women who ever experienced sexual violence","Rate",3.4,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","15-19","Percentage of women who ever experienced sexual violence","Rate",0.1,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","20-24","Percentage of women who ever experienced sexual violence","Rate",1.8,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","25-29","Percentage of women who ever experienced sexual violence","Rate",3.5,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","30-34","Percentage of women who ever experienced sexual violence","Rate",6.9,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","35-39","Percentage of women who ever experienced sexual violence","Rate",6.2,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","40-44","Percentage of women who ever experienced sexual violence","Rate",4.2,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Kyrgyz Republic","KGZ","2012","Female","45-49","Percentage of women who ever experienced sexual violence","Rate",4.4,"2012 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-49","Ever experienced physical violence since age 15","Rate",26.8,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-19","Ever experienced physical violence since age 15","Rate",14,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","20-24","Ever experienced physical violence since age 15","Rate",22.5,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","25-29","Ever experienced physical violence since age 15","Rate",27.7,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","30-34","Ever experienced physical violence since age 15","Rate",32.5,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","35-39","Ever experienced physical violence since age 15","Rate",33.7,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","40-44","Ever experienced physical violence since age 15","Rate",29.8,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","45-49","Ever experienced physical violence since age 15","Rate",33.2,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.8,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.6,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.1,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.2,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.7,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.3,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often","Rate",0.4,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",1.9,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",4.9,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",2.4,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",1.4,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","30-34","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",1.1,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","35-39","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",0.7,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","40-44","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",0.9,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","45-49","Percentage of women who have experienced physical violence in the past 12 months sometimes","Rate",0.6,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-49","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",2.3,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","15-19","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",5.7,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","20-24","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",3,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
"Moldova","MDA","2005","Female","25-29","Percentage of women who have experienced physical violence in the past 12 months often or sometimes","Rate",1.6,"2005 DHS","Physical violence against a child","DHS_PHYSICAL_VIOLENCE",NA
