"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","WealthQuintile","IDPstatus","SettlementType","Comments","Reliability"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",7.224099,"Male",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",23.33085,"Male",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",24.60143,"Male",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",14.59138,"Male",NA,"Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",25.03111,"Male","15-19","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",23.2754,"Male","20-24","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",19.35709,"Male","25-29","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",19.69382,"Male","30-34","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",24.77202,"Male","35-39","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",17.52477,"Male","40-44","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Bosnia and Herzegovina","BIH","Attitude towards domestic violence","2012",12.73848,"Male","45-49","Rate","MICS Roma settlements 2011-12","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",2.89068,"Female","15-49","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",1.35987,"Female",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",5.055928,"Female",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",11.20838,"Female",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",0.2621648,"Female",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Caveats should be provided in terms of the level of reliability of the estimate (CV>33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",2.385941,"Female","15-19","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Caveats should be provided in terms of the level of reliability of the estimate (CV>33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",2.592167,"Female","20-24","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",1.975088,"Female","25-29","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",2.612883,"Female","30-34","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",2.45277,"Female","35-39","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",3.000892,"Female","40-44","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",4.880972,"Female","45-49","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Female",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,"IDP",NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Female",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,"Non IDP",NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",6.593604,"Male","15-49","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",3.990001,"Male",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",10.09489,"Male",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",16.92999,"Male",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",2.400446,"Male",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Caveats should be provided in terms of the level of reliability of the estimate (CV>33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",5.630467,"Male","15-19","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",7.85015,"Male","20-24","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",6.271605,"Male","25-29","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","30-34","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","35-39","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","40-44","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","45-49","Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,"IDP",NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male",NA,"Rate","MICS 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,"Non IDP",NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",20.09694,"Female","15-49","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Serbia","SRB","Attitude towards domestic violence","2010",17.8105,"Female",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",25.18571,"Female",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",34.61281,"Female",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",8.188945,"Female",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",18.01507,"Female","15-19","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",19.26229,"Female","20-24","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",20.97465,"Female","25-29","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",15.6303,"Female","30-34","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",17.59292,"Female","35-39","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",28.84506,"Female","40-44","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",26.02654,"Female","45-49","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",31.42271,"Male","15-49","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Serbia","SRB","Attitude towards domestic violence","2010",27.96597,"Male",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",38.82864,"Male",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",49.93052,"Male",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment","Lowest",NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",12.93221,"Male",NA,"Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment","Highest",NA,NA," ","Still acceptable but should be used with caution (CV 20%-33%)"
"Serbia","SRB","Attitude towards domestic violence","2010",32.89762,"Male","15-19","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",33.55855,"Male","20-24","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",27.74476,"Male","25-29","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","30-34","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","35-39","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","40-44","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Serbia","SRB","Attitude towards domestic violence","2010",NA,"Male","45-49","Rate","MICS Roma settlements 2010","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",14.16243,"Female","15-49","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",9.926024,"Female",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban"," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",19.63155,"Female",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural"," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",23.14953,"Female",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment","Poorest (Q1)",NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",9.280025,"Female",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment","Richest (Q5)",NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",8.218197,"Female","15-19","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",13.56178,"Female","20-24","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",15.27282,"Female","25-29","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",15.62908,"Female","30-34","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",15.86368,"Female","35-39","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",15.71667,"Female","40-44","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",12.75363,"Female","45-49","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Female",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,"IDP",NA,"Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Female",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,"Non IDP",NA,"Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Male","15-49","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Male",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Urban","Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Male",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,"Rural","Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Male",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment","Poorest (Q1)",NA,NA,"Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Male",NA,"Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment","Richest (Q5)",NA,NA,"Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Attitude towards domestic violence","2015",NA,"Male","15-19","Rate","MICS 2015","MICS-ATTITUDE-DOMESTIC","Environment",NA,NA,NA,"Not available/applicable","Not applicable/available"
